,Unnamed: 0.2,index,Unnamed: 0.1,Unnamed: 0,names,city_region,public1,address,full_address,Latitude,Longitude
385,385,399,399,399,"КГКП «Саранский гуманитарно-технический колледж»
им. Абая Кунанбаева»",Карагандинская область,True," Г.Шахтинск,
 проспект Абая 9","Карагандинская область,  Г.Шахтинск,
 проспект Абая 9",49.703811198194,72.58727381494
386,386,400,400,400,КГКП «Шахтинский технологический колледж»,Карагандинская область,True,"Карагандинская обл, Абайский район,
село Агрогородок","Карагандинская область, Карагандинская обл, Абайский район,
село Агрогородок",49.6397095,72.7438965
387,387,401,401,401,КГКП «Абайсктй многопрофильный колледж»,Карагандинская область,True,"г. Каркаралинск,
 ул.Т.Аубакирова, 133","Карагандинская область, г. Каркаралинск,
 ул.Т.Аубакирова, 133",49.414505012992,75.493105862054
388,388,402,402,402,КГКП «Каркаралинсий сельскохозяйственный колледж имени М. Адекенова»,Карагандинская область,True,"г. Жезказган,
ул. Байконурова,19","Карагандинская область, г. Жезказган,
ул. Байконурова,19",47.786894607258,67.698667481401
389,389,403,403,403,КГКП «Жезказганский политехнический колледж»,Карагандинская область,True,"г. Жезказган,
ул. Гагарина,74","Карагандинская область, г. Жезказган,
ул. Гагарина,74",49.785508316733,76.397954434181
390,390,404,404,404,КГКП «Жезказганский гуманитарный колледж»,Карагандинская область,True,"г. Жезказган,
ул. Байконурова, 17","Карагандинская область, г. Жезказган,
ул. Байконурова, 17",47.786567880673,67.699528470495
391,391,405,405,405,КГКП «Жезказганский музыкальный колледж»,Карагандинская область,True,"г. Балхаш, ул. Караменде би, 17","Карагандинская область, г. Балхаш, ул. Караменде би, 17",46.843611610515,74.979705072464
392,392,406,406,406,КГКП «Балхашский гуманитарно-технический колледж»,Карагандинская область,True,"Нұраауданы,
Киевкапоселкасы, Резника к-сі 76","Карагандинская область, Нұраауданы,
Киевкапоселкасы, Резника к-сі 76",49.727533734201,69.694456385141
393,393,407,407,407,КГКП «Нуринский многопрофильный колледж»,Карагандинская область,True,"г. Караганда,
ул. Чкалова, 9","Карагандинская область, г. Караганда,
ул. Чкалова, 9",49.812837694684,73.072662676253
394,394,408,408,408,КГП «Медицинский колледж г. Караганды»,Карагандинская область,True,"г. Жезказган,
ул. Тарадая, 8","Карагандинская область, г. Жезказган,
ул. Тарадая, 8",47.791698317878,67.720156669486
395,395,409,409,409,КГКП «Медицинский колледж г. Жезказган»,Карагандинская область,True,"г. Балхаш,
ул. Желтоксан,  23","Карагандинская область, г. Балхаш,
ул. Желтоксан,  23",46.832884786107,74.994503825435
396,396,410,410,410,КГКП «Медицинский колледж г. Балхаш»,Карагандинская область,True,"г. Караганда,
ул.Магнитогорская, 24","Карагандинская область, г. Караганда,
ул.Магнитогорская, 24",49.879217715878,73.196601268461
397,397,411,411,411,КГУ «Карагандинский горно-индустриальный  колледж»,Карагандинская область,True,"г. Караганда
ул. Социалистическая 3.","Карагандинская область, г. Караганда
ул. Социалистическая 3.",49.903032652382,73.098923080237
398,398,412,412,412,КГУ «Карагандинский агротехнический колледж»,Карагандинская область,True,"г. Караганда,
ул. Столичная, 2а","Карагандинская область, г. Караганда,
ул. Столичная, 2а",49.880045386907,73.194366736894
399,399,413,413,413,КГУ «Карагандинский индустриально-технологический колледж»,Карагандинская область,True,"г. Караганда,ул.Ермекова, 15","Карагандинская область, г. Караганда,ул.Ермекова, 15",49.799811881874,73.096546909351
400,400,414,414,414,КГУ «Карагандинский профессионально-технический колледж»,Карагандинская область,True,"г. Караганда, ул. Баженова, 164","Карагандинская область, г. Караганда, ул. Баженова, 164",49.793568579384,73.05369241771
401,401,415,415,415,КГУ «Карагандинский колледж питания и сервиса»,Карагандинская область,True,"г. Караганды, ул. Ермекова, 27","Карагандинская область, г. Караганды, ул. Ермекова, 27",49.79536431832,73.090195186944
402,402,416,416,416,КГУ «Карагандинский машиностроительный колледж»,Карагандинская область,True,"г. Караганда,
ул. Зональная, 75","Карагандинская область, г. Караганда,
ул. Зональная, 75",49.777251495636,73.095457461196
403,403,417,417,417,КГУ «Карагандинский колледж технологии и сервиса»,Карагандинская область,True,"г. Караганда,
ст. Сортировочная,
ул. Локомотивная, 22а","Карагандинская область, г. Караганда,
ст. Сортировочная,
ул. Локомотивная, 22а",49.960932779149,73.19689851305
404,404,418,418,418,КГУ «Карагандинский железнодорожный колледж»,Карагандинская область,True,"г. Караганда
ул. Крипичная, 8«а»","Карагандинская область, г. Караганда
ул. Крипичная, 8«а»",49.8383231,73.1156017
405,405,419,419,419,КГУ «Карагандинский технико-строительный колледж»,Карагандинская область,True,"г. Караганда,
ул. Муканова 21/2","Карагандинская область, г. Караганда,
ул. Муканова 21/2",49.769285996337,73.146613777218
406,406,420,420,420,КГУ «Карагандинский транспортно-технологический колледж»,Карагандинская область,True,"г. Темиртау,
ул. Казахстанская, 7","Карагандинская область, г. Темиртау,
ул. Казахстанская, 7",50.087594217662,72.909647064707
407,407,421,421,421,КГУ «Темиртауский колледж торговли и питания»,Карагандинская область,True,"г. Темиртау,
71 квартал","Карагандинская область, г. Темиртау,
71 квартал",50.046248,72.980985
408,408,422,422,422,КГУ «Темиртауский технический колледж»,Карагандинская область,True,"г. Темиртау ,
71квартал","Карагандинская область, г. Темиртау ,
71квартал",50.0590783,73.0317327
409,409,423,423,423,КГУ «Темиртауский профессионально-технический колледж»,Карагандинская область,True,"г. Темиртау,
 ул. Дмитрова,1","Карагандинская область, г. Темиртау,
 ул. Дмитрова,1",50.053669800203,72.997255457758
410,410,424,424,424,КГУ «Темиртауский индустриально-технологический колледж»,Карагандинская область,True,"101200, г.Сарань,
 ул. Кольцевая, 12","Карагандинская область, 101200, г.Сарань,
 ул. Кольцевая, 12",49.79964182451,72.852842985625
411,411,425,425,425,КГУ «Саранский технический колледж»,Карагандинская область,True," г. Шахтинск,
 ул. Московская, 30","Карагандинская область,  г. Шахтинск,
 ул. Московская, 30",49.707238706624,72.596618939469
412,412,426,426,426,КГУ «Шахтинский горно-индустриальный  колледж»,Карагандинская область,True," г. Балхаш, ул. Алимжанова, 9","Карагандинская область,  г. Балхаш, ул. Алимжанова, 9",46.832924683966,74.966364938284
413,413,427,427,427,КГУ «Балхашский колледж сервиса»,Карагандинская область,True," г. Балхаш, ул. Мира, 7","Карагандинская область,  г. Балхаш, ул. Мира, 7",46.83926734972,74.983059197573
